ts_code,symbol,name,industry
000001.SZ,000001,平安银行,银行
000002.SZ,000002,万科A,全国地产
000004.SZ,000004,国华网安,软件服务
000005.SZ,000005,ST星源,环境保护
000006.SZ,000006,深振业A,区域地产
000007.SZ,000007,*ST全新,其他商业
000008.SZ,000008,神州高铁,运输设备
000009.SZ,000009,中国宝安,电气设备
000010.SZ,000010,美丽生态,建筑工程
000011.SZ,000011,深物业A,区域地产
000012.SZ,000012,南玻A,玻璃
000014.SZ,000014,沙河股份,全国地产
000016.SZ,000016,深康佳A,家用电器
000017.SZ,000017,深中华A,服饰
000019.SZ,000019,深粮控股,农业综合
000020.SZ,000020,深华发A,元器件
000021.SZ,000021,深科技,元器件
000023.SZ,000023,ST深天,水泥
000025.SZ,000025,特力A,汽车服务
000026.SZ,000026,飞亚达,服饰
000027.SZ,000027,深圳能源,火力发电
000028.SZ,000028,国药一致,医药商业
000029.SZ,000029,深深房A,区域地产
000030.SZ,000030,富奥股份,汽车配件
000031.SZ,000031,大悦城,全国地产
000032.SZ,000032,深桑达A,建筑工程
000034.SZ,000034,神州数码,软件服务
000035.SZ,000035,中国天楹,环境保护
000036.SZ,000036,华联控股,全国地产
000037.SZ,000037,深南电A,火力发电
000039.SZ,000039,中集集团,运输设备
000040.SZ,000040,东旭蓝天,新型电力
000042.SZ,000042,中洲控股,全国地产
000045.SZ,000045,深纺织A,元器件
000048.SZ,000048,京基智农,区域地产
000049.SZ,000049,德赛电池,电气设备
000050.SZ,000050,深天马A,元器件
000055.SZ,000055,方大集团,装修装饰
000056.SZ,000056,皇庭国际,房产服务
000058.SZ,000058,深赛格,商品城
000059.SZ,000059,华锦股份,石油加工
000060.SZ,000060,中金岭南,铅锌
000061.SZ,000061,农产品,农业综合
000062.SZ,000062,深圳华强,元器件
000063.SZ,000063,中兴通讯,通信设备
000065.SZ,000065,北方国际,建筑工程
000066.SZ,000066,中国长城,IT设备
000068.SZ,000068,华控赛格,环境保护
000069.SZ,000069,华侨城A,全国地产
000070.SZ,000070,特发信息,通信设备
000078.SZ,000078,海王生物,医药商业
000088.SZ,000088,盐田港,港口
000089.SZ,000089,深圳机场,机场
000090.SZ,000090,天健集团,建筑工程
000096.SZ,000096,广聚能源,石油贸易
000099.SZ,000099,中信海直,空运
000100.SZ,000100,TCL科技,元器件
000151.SZ,000151,中成股份,商贸代理
000153.SZ,000153,丰原药业,化学制药
000155.SZ,000155,川能动力,新型电力
000156.SZ,000156,华数传媒,影视音像
000157.SZ,000157,中联重科,工程机械
000158.SZ,000158,常山北明,软件服务
000159.SZ,000159,国际实业,石油贸易
000166.SZ,000166,申万宏源,证券
000301.SZ,000301,东方盛虹,化纤
000333.SZ,000333,美的集团,家用电器
000338.SZ,000338,潍柴动力,汽车配件
000400.SZ,000400,许继电气,电气设备
000401.SZ,000401,冀东水泥,水泥
000402.SZ,000402,金融街,全国地产
000403.SZ,000403,派林生物,生物制药
000404.SZ,000404,长虹华意,家用电器
000407.SZ,000407,胜利股份,供气供热
000408.SZ,000408,藏格矿业,农药化肥
000409.SZ,000409,云鼎科技,软件服务
000410.SZ,000410,沈阳机床,机床制造
000411.SZ,000411,英特集团,医药商业
000413.SZ,000413,东旭光电,元器件
000415.SZ,000415,渤海租赁,多元金融
000416.SZ,000416,*ST民控,多元金融
000417.SZ,000417,合肥百货,百货
000419.SZ,000419,通程控股,百货
000420.SZ,000420,吉林化纤,化纤
